64		5120	12580
80		5812	14920
100		6993	17001
120		7832	19232
150		8923	22394
200		10320	24714
300		11521	28912
400		12310	32039
500		13811	35546
600		15512	38832
750		16890	39703
1000	18930	39712
1250	20321	39712
1500	22912 	39712
