64  	9321	9109	9519
80  	12207	11910	11111
100  	14837	14120	13374
120  	16905	15992	15720
150  	20420	18676	17817
200  	27101	25063	20860
300  	32825	32825	28421
400  	36698	36698	33761
500  	38120	38120	36993
600  	38940	38940	38940
750  	39790	39790	39790
1000  	39840	39840	39840
1250  	39974	39974	39974
1500  	39900	39900	39900
