64		7683	12551	12547	9519
80 		8990	15266	15265	11111
100		10932	18152	18254	13374
120		13118	21356	21512	15720
150 	14789	23738	24183	17817
200		17235	27443	28191	20860
300 	22867	32814	33283	25871
400 	26802	36440	36699	30103
500		29322 	37859	38120	33610
600		32120	38510	38940	36371
750		34892	39610	39790	37910
1000	37890 	39900	39840	38710
1250	39871	39974	39974	38901
1500 	39892	39990	39990	38990
