64		7683	7616
72		8410	8410
80 		8990	9200
100		10932	11190
120		13118	12841
150 	14789	14817
200		17235	17230
300 	22867	22873
400 	26802	26880
500		29322 	29322
750		34892	34243
1000	37890 	37889
1250	39871	39874
1500 	39892	39890
